Unnamed: 0,origin_city,title,post_id,price,posted_time,posted_location,scraped_time,post_link,category,cat_code
44,newyork,Coral Necklace,7811295145,2700.0,14-Jan,Massapequa,15/01/2025 00:39:50,https://newyork.craigslist.org/que/atq/d/babylon-coral-necklace/7811295145.html,antiques,ata
20,hudsonvalley,Folk Art Hand Painted Angel,7816784706,125.0,8-Jan,Pearl River,14/01/2025 19:44:51,https://hudsonvalley.craigslist.org/atq/d/pearl-river-folk-art-hand-painted-angel/7816784706.html,antiques,ata
12,longisland,De Santis Holster,7810563158,23.0,12/24Islip Terrace 11752,,14/01/2025 22:20:03,https://longisland.craigslist.org/atq/d/islip-terrace-de-santis-holster/7810563158.html,antiques,ata
2,newyork,Vintage Pedal Car Fire Truck,7812623165,200.0,22-Dec,queens,15/01/2025 00:50:37,https://newyork.craigslist.org/que/atq/d/howard-beach-vintage-pedal-car-fire/7812623165.html,antiques,ata
35,newyork,"Marble and Brass table. 20 "" high 15 "" round.",7815785434,60.0,13-Jan,Staten Island,15/01/2025 00:41:02,https://newyork.craigslist.org/stn/atq/d/staten-island-marble-and-brass-table-20/7815785434.html,antiques,ata
18,newyork,Vintage Hand-made Liberty Bell Chandelier,7817093568,150.0,13-Jan,Howard Beach,15/01/2025 00:40:38,https://newyork.craigslist.org/que/atq/d/howard-beach-vintage-hand-made-liberty/7817093568.html,antiques,ata
89,newyork,Momâ€™s Collection Antique Serving Spoons #5,7816799887,10.0,8-Jan,Gramercy,15/01/2025 00:43:50,https://newyork.craigslist.org/mnh/atq/d/new-york-moms-collection-antique/7816799887.html,antiques,ata
59,longisland,**REDUCED** Wallace Nutting Federalist Style Mirror,7818222547,475.0,14-Jan,Riverhead NY,14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/riverhead-reduced-wallace-nutting/7818222547.html,antiques,ata
6,twintiers,Cedar Chest,7814569253,425.0,31-Dec,Chautauqua County NY,15/01/2025 12:23:55,https://twintiers.craigslist.org/atq/d/jamestown-cedar-chest/7814569253.html,antiques,ata
3,hudsonvalley,"100 ft - 4 inch Drainage Pipe- Half New ,Perforated and Solid with Connectors",7814879341,65.0,1h ,Lagrangeville,14/01/2025 19:43:40,https://hudsonvalley.craigslist.org/atq/d/lagrangeville-100-ft-inch-drainage-pipe/7814879341.html,antiques,ata
28,newyork,antique wooden steamer trunk boho wooden leather brass,7809068425,175.0,6-Jan,Prospect Heights,15/01/2025 00:45:01,https://newyork.craigslist.org/brk/atq/d/brooklyn-antique-wooden-steamer-trunk/7809068425.html,antiques,ata
33,catskills,Antique Milk Can's,7811402886,75.0,18-Dec,"NORTH BRANCH , NY",14/01/2025 16:11:32,https://catskills.craigslist.org/atq/d/north-branch-antique-milk-cans/7811402886.html,antiques,ata
107,albany,Noritake Cream and Sugar,7817717913,30.0,12-Jan,Waterford,14/01/2025 11:50:35,https://albany.craigslist.org/atq/d/waterford-noritake-cream-and-sugar/7817717913.html,antiques,ata
49,longisland,Dome Top Steamer Trunk,7818235834,195.0,14-Jan,Bayport,14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/bayport-dome-top-steamer-trunk/7818235834.html,antiques,ata
90,albany,1950's Beauty parlor hair dryer chair,7815849740,100.0,5-Jan,,14/01/2025 11:51:46,https://albany.craigslist.org/atq/d/canaan-1950s-beauty-parlor-hair-dryer/7815849740.html,antiques,ata
116,buffalo,Vintage Flexible Flyer Sled,7816161098,75.0,6-Jan,Cheektowaga,14/01/2025 14:01:48,https://buffalo.craigslist.org/atq/d/buffalo-vintage-flexible-flyer-sled/7816161098.html,antiques,ata
53,rochester,6pc Yellow Depression Glass Lot,7816704985,45.0,11-Jan,Irondequoit,15/01/2025 09:31:17,https://rochester.craigslist.org/atq/d/rochester-6pc-yellow-depression-glass/7816704985.html,antiques,ata
23,glensfalls,Axe,7813194814,75.0,25-Dec,"Whitehall, NY",14/01/2025 19:07:17,https://glensfalls.craigslist.org/atq/d/whitehall-axe/7813194814.html,antiques,ata
75,rochester,E. Ingraham mantle clock,7814879236,50.0,1-Jan,Penfield,15/01/2025 09:32:04,https://rochester.craigslist.org/atq/d/rochester-ingraham-mantle-clock/7814879236.html,antiques,ata
11,rochester,Antique Chicago Mfg & Distributing Co Patent March 10 1914 Hex Ratchet,7814149214,12.0,29-Dec,Castile,15/01/2025 09:32:28,https://rochester.craigslist.org/atq/d/castile-antique-chicago-mfg/7814149214.html,antiques,ata
28,hudsonvalley,Antique Bassinet/laundry basket,7807821926,125.0,5-Dec,Warwick,14/01/2025 19:46:03,https://hudsonvalley.craigslist.org/atq/d/warwick-antique-bassinet-laundry-basket/7807821926.html,antiques,ata
69,syracuse,D.L. & W. Railroad lantern,7815565498,175.0,4-Jan,Auburn NY,15/01/2025 11:19:06,https://syracuse.craigslist.org/atq/d/auburn-dl-railroad-lantern/7815565498.html,antiques,ata
85,albany,NEEDLE POINT BABY QUILT,7804309727,80.0,21-Dec,"ROTTERDAM, NY",14/01/2025 11:52:11,https://albany.craigslist.org/atq/d/schenectady-needle-point-baby-quilt/7804309727.html,antiques,ata
35,newyork,Mid-Century Mirror,7815843335,200.0,5-Jan,Brooklyn,15/01/2025 00:45:25,https://newyork.craigslist.org/brk/atq/d/brooklyn-mid-century-mirror/7815843335.html,antiques,ata
117,syracuse,1880 Pears Annual Lithograph Little Sweethearts Antique Print,7815545805,100.0,13-Jan,Fayetteville,15/01/2025 11:18:42,https://syracuse.craigslist.org/atq/d/fayetteville-1880-pears-annual/7815545805.html,antiques,ata
81,albany,Antique end table,7816019520,150.0,6-Jan,Niskayuna,14/01/2025 11:51:22,https://albany.craigslist.org/atq/d/schenectady-antique-end-table/7816019520.html,antiques,ata
102,newyork,"antique, cabinet ball claw, headboards ++",7815086986,0.0,14-Jan,best offer will be listen to over telephone,15/01/2025 00:40:14,https://newyork.craigslist.org/brk/atq/d/brooklyn-antique-cabinet-ball-claw/7815086986.html,antiques,ata
113,albany,Vintage Signed Numbered Print NYC Old Street Lamps,7808947420,160.0,9-Dec,Niskayuna Starbucks,14/01/2025 11:52:35,https://albany.craigslist.org/atq/d/schenectady-vintage-signed-numbered/7808947420.html,antiques,ata
35,newyork,* - Rare Vintage 1890â€™s Strong Box / Trunk by Vanderman - *,7811589554,450.0,12-Jan,NJ-w/ Delivery available to NYC and beyond-!,15/01/2025 00:41:50,https://newyork.craigslist.org/brk/atq/d/moorestown-rare-vintage-1890s-strong/7811589554.html,antiques,ata
6,buffalo,"set of three stacking ""sad"" irons",7812868364,19.0,10-Jan,south towns,14/01/2025 14:01:24,https://buffalo.craigslist.org/atq/d/set-of-three-stacking-sad-irons/7812868364.html,antiques,ata
22,plattsburgh,Cigarette/lipstick carousel,7816265973,250.0,6-Jan,AuSable Forks,15/01/2025 07:51:22,https://plattsburgh.craigslist.org/atq/d/au-sable-forks-cigarette-lipstick/7816265973.html,antiques,ata
104,newyork,ANTIQUE FURNITURE SIDEBAR,7812050036,400.0,20-Dec,queens,15/01/2025 00:51:01,https://newyork.craigslist.org/que/atq/d/howard-beach-antique-furniture-sidebar/7812050036.html,antiques,ata
97,newyork,Antique Lito/ print,7808082099,0.0,2-Jan,Gramercy Park NYC,15/01/2025 00:46:12,https://newyork.craigslist.org/mnh/atq/d/new-york-antique-lito-print/7808082099.html,antiques,ata
85,newyork,"Richard Harris ""A Man Called Horse"" 11""x14"" original movie poster",7817663256,10.0,12-Jan,Manhattan,15/01/2025 00:41:50,https://newyork.craigslist.org/brk/atq/d/brooklyn-richard-harris-man-called/7817663256.html,antiques,ata
50,longisland,"US COINS, 4 Replica $1.00 pieces",7815225334,40.0,14-Jan,"JERICHO, Nassau County",14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/jericho-us-coins-replica-100-pieces/7815225334.html,antiques,ata
62,albany,White cupboard,7812694113,125.0,23-Dec,Amsterdam,14/01/2025 11:52:11,https://albany.craigslist.org/atq/d/amsterdam-white-cupboard/7812694113.html,antiques,ata
0,syracuse,Antique Wooden Ride on Tricycle all Original from 1920,7817360352,150.0,12-Jan,Cicero,15/01/2025 11:19:06,https://syracuse.craigslist.org/atq/d/cicero-antique-wooden-ride-on-tricycle/7817360352.html,antiques,ata
68,longisland,1912 6 Panel Box Sash Windows,7812329423,25.0,28-Dec,Selden,14/01/2025 22:19:37,https://longisland.craigslist.org/atq/d/selden-panel-box-sash-windows/7812329423.html,antiques,ata
44,newyork,Israel Porcelain Cups Set Naaman Hebrew Zodiac Symbols - Best Offer,7810386372,49.0,19-Dec,Fair Lawn NJ,15/01/2025 00:51:24,https://newyork.craigslist.org/jsy/atq/d/fair-lawn-israel-porcelain-cups-set/7810386372.html,antiques,ata
29,buffalo,"1950s MARX litho tin train tunnel, pristine!",7809897198,20.0,10-Jan,Northtowns,14/01/2025 14:01:48,https://buffalo.craigslist.org/atq/d/buffalo-1950s-marx-litho-tin-train/7809897198.html,antiques,ata
28,buffalo,CIVIL WAR CONFEDERATE ANTIQUE HAND FORGED IRON WAGON MOUNT MEDAL BADGE,7808650303,0.0,27-Dec,ALDEN,14/01/2025 14:02:12,https://buffalo.craigslist.org/atq/d/alden-civil-war-confederate-antique/7808650303.html,antiques,ata
39,albany,"Coffee pot and cake plate china set, 100+ years old",7811287186,25.0,13-Jan,Clifton Park,14/01/2025 11:50:35,https://albany.craigslist.org/atq/d/clifton-park-coffee-pot-and-cake-plate/7811287186.html,antiques,ata
65,longisland,Vintage Round Pedestal Side Table and Decorative Table Lamp,7810524471,25.0,12-Jan,Islip,14/01/2025 22:18:49,https://longisland.craigslist.org/atq/d/islip-vintage-round-pedestal-side-table/7810524471.html,antiques,ata
112,binghamton,Vintage Fostoria glass pitcher,7810365029,20.0,14-Dec,Binghamton,14/01/2025 13:16:21,https://binghamton.craigslist.org/atq/d/binghamton-vintage-fostoria-glass/7810365029.html,antiques,ata
100,rochester,Vintage Wagner Ware Griswold 2 Qt. Bean Pot/Dutch Oven with Glass Lid,7803425545,35.0,19-Dec,Walworth,15/01/2025 09:32:52,https://rochester.craigslist.org/atq/d/walworth-vintage-wagner-ware-griswold/7803425545.html,antiques,ata
96,albany,VINTAGE / ANTIQUE ADVERTISING CRATES.,7812728611,30.0,12-Jan,WATERFORD,14/01/2025 11:50:35,https://albany.craigslist.org/atq/d/cohoes-vintage-antique-advertising/7812728611.html,antiques,ata
26,utica,Burrowes Mothproof Red Cedar Chest,7814549998,230.0,31-Dec,Lee Center,15/01/2025 13:31:22,https://utica.craigslist.org/atq/d/lee-center-burrowes-mothproof-red-cedar/7814549998.html,antiques,ata
37,longisland,"Schatz Glass Dome Clock with Key, German Mantel Clock Made In Germany",7815308792,120.0,13-Jan,Bayport,14/01/2025 22:18:01,https://longisland.craigslist.org/atq/d/bayport-schatz-glass-dome-clock-with/7815308792.html,antiques,ata
87,buffalo,FORD 1954 SUNLINER CONVERTIBLE,7817430214,29500.0,11-Jan,west seneca,14/01/2025 14:01:01,https://buffalo.craigslist.org/atq/d/buffalo-ford-1954-sunliner-convertible/7817430214.html,antiques,ata
20,longisland,Antique Fire Surround/Mantel,7799386605,400.0,2-Dec,East Hampton,14/01/2025 22:21:15,https://longisland.craigslist.org/atq/d/amagansett-antique-fire-surround-mantel/7799386605.html,antiques,ata
32,newyork,grandfather clock,7811007393,400.0,14-Jan,Brooklyn,15/01/2025 00:39:26,https://newyork.craigslist.org/brk/atq/d/brooklyn-grandfather-clock/7811007393.html,antiques,ata
63,newyork,Listed cityscape Old New York,7804201145,0.0,20-Dec,Midtown West,15/01/2025 00:51:01,https://newyork.craigslist.org/mnh/atq/d/new-york-listed-cityscape-old-new-york/7804201145.html,antiques,ata
44,newyork,Coral Necklace,7811295145,2700.0,14-Jan,Massapequa,15/01/2025 00:40:14,https://newyork.craigslist.org/que/atq/d/babylon-coral-necklace/7811295145.html,antiques,ata
0,longisland,Yankees Autograph,7799953100,1800.0,4-Dec,Smithtown,14/01/2025 22:21:15,https://longisland.craigslist.org/atq/d/smithtown-yankees-autograph/7799953100.html,antiques,ata
117,hudsonvalley,Brassed Bamboo Maurice Duchin,7808467903,105.0,7-Dec,New Paltz,14/01/2025 19:45:39,https://hudsonvalley.craigslist.org/atq/d/new-paltz-brassed-bamboo-maurice-duchin/7808467903.html,antiques,ata
16,albany,Antique Pewter Sets,7803069505,1.0,8-Dec,Edinburg,14/01/2025 11:52:58,https://albany.craigslist.org/atq/d/northville-antique-pewter-sets/7803069505.html,antiques,ata
10,longisland,Vintage Mustard Jar,7809213069,5.0,7-Jan,"Farmingville, NY",14/01/2025 22:19:13,https://longisland.craigslist.org/atq/d/farmingville-vintage-mustard-jar/7809213069.html,antiques,ata
48,newyork,Lenox bowl,7814750329,50.0,1-Jan,queens,15/01/2025 00:47:00,https://newyork.craigslist.org/que/atq/d/ozone-park-lenox-bowl/7814750329.html,antiques,ata
39,rochester,Antique Accent Table. Vintage Side Table. Antique Small Console Table. Feel free,7803415159,39.0,14-Dec,Rochester,15/01/2025 09:33:15,https://rochester.craigslist.org/atq/d/rochester-antique-accent-table-vintage/7803415159.html,antiques,ata
36,longisland,Made In Occupied Japan - Miniature Ceramic Urn Vase,7815264220,25.0,6h ,West Babylon,14/01/2025 22:17:36,https://longisland.craigslist.org/atq/d/west-babylon-made-in-occupied-japan/7815264220.html,antiques,ata
53,newyork,"London Symphony Orchestra & Choir, Colin Davis, HANDEL MESSIAH, Record",7815839551,40.0,10-Jan,Union Square,15/01/2025 00:43:02,https://newyork.craigslist.org/mnh/atq/d/new-york-london-symphony-orchestra/7815839551.html,antiques,ata
109,newyork,Antique Hubley Cast Iron Boston Terrier Doorstop,7809183325,100.0,7-Jan,"fairfield co, CT",15/01/2025 00:44:38,https://newyork.craigslist.org/fct/atq/d/darien-antique-hubley-cast-iron-boston/7809183325.html,antiques,ata
13,newyork,Antique Tin from Brownstone Ceiling,7817343468,49.0,2h ,Brooklyn,15/01/2025 00:39:02,https://newyork.craigslist.org/brk/atq/d/brooklyn-antique-tin-from-brownstone/7817343468.html,antiques,ata
4,syracuse,Antique Rare Ottoman Musket. Â ,7817702049,550.0,12-Jan,Syracuse,15/01/2025 11:19:06,https://syracuse.craigslist.org/atq/d/syracuse-antique-rare-ottoman-musket/7817702049.html,antiques,ata
45,albany,Pictures Mary Poppins 3 Unframed Prints,7807852828,60.0,5-Dec,Niskayuna Starbucks,14/01/2025 11:52:58,https://albany.craigslist.org/atq/d/schenectady-pictures-mary-poppins/7807852828.html,antiques,ata
11,albany,Cherry bentwood chairs 45 available,7810726359,70.0,9-Jan,Albany,14/01/2025 11:51:22,https://albany.craigslist.org/atq/d/albany-cherry-bentwood-chairs-45/7810726359.html,antiques,ata
26,buffalo,Antique Double Tree Evener Yoke(s) - wooden primitive rustic farmhouse,7813543367,20.0,10-Jan,Blasdell,14/01/2025 14:01:48,https://buffalo.craigslist.org/atq/d/buffalo-antique-double-tree-evener/7813543367.html,antiques,ata
23,newyork,Monumental functioning Black Forest 7ft. Coukoo clock,7813499399,1.0,10-Jan,NY-NJ- Conn.,15/01/2025 00:43:02,https://newyork.craigslist.org/brx/atq/d/bronx-monumental-functioning-black/7813499399.html,antiques,ata
38,rochester,1800's Oil Lamp,7807881697,25.0,3-Jan,Webster,15/01/2025 09:32:04,https://rochester.craigslist.org/atq/d/webster-1800s-oil-lamp/7807881697.html,antiques,ata
83,newyork,STELTON EM Cutlery 5 Piece Setting Stainless Steel. Erik Magnussen. NE,7805139012,142.0,24-Dec,Gramercy,15/01/2025 00:49:49,https://newyork.craigslist.org/mnh/atq/d/new-york-stelton-em-cutlery-piece/7805139012.html,antiques,ata
99,newyork,Framed painting The Letter Fragonard,7814407202,100.0,30-Dec,queens,15/01/2025 00:47:24,https://newyork.craigslist.org/que/atq/d/howard-beach-framed-painting-the-letter/7814407202.html,antiques,ata
47,hudsonvalley,Antique Dish,7809536966,27.0,11-Dec,Circleville,14/01/2025 19:45:39,https://hudsonvalley.craigslist.org/atq/d/circleville-antique-dish/7809536966.html,antiques,ata
10,newyork,Antique Lamp with hanging crystals,7806205363,20.0,20-Dec,Long Island/all over,15/01/2025 00:51:24,https://newyork.craigslist.org/lgi/atq/d/mattituck-antique-lamp-with-hanging/7806205363.html,antiques,ata
6,newyork,motorcycle jacket  - Hein Gericke vintage ( 1980's ),7815274764,200.0,12-Jan,Riverdale,15/01/2025 00:42:14,https://newyork.craigslist.org/brx/atq/d/bronx-motorcycle-jacket-hein-gericke/7815274764.html,antiques,ata
85,syracuse,Vintage metal patio chairs,7814034586,50.0,13-Jan,Central Square,15/01/2025 11:18:42,https://syracuse.craigslist.org/atq/d/brewerton-vintage-metal-patio-chairs/7814034586.html,antiques,ata
68,rochester,Large Empire Dinning Table,7818268744,250.0,14-Jan,"Scottsville, NY",15/01/2025 09:30:29,https://rochester.craigslist.org/atq/d/scottsville-large-empire-dinning-table/7818268744.html,antiques,ata
7,glensfalls,Ceramic horse,7817589698,1000.0,11-Jan,Queensbury,14/01/2025 19:07:17,https://glensfalls.craigslist.org/atq/d/glens-falls-ceramic-horse/7817589698.html,antiques,ata
55,rochester,J.P.L. France Water Pitcher,7816706149,15.0,11-Jan,Irondequoit,15/01/2025 09:31:40,https://rochester.craigslist.org/atq/d/rochester-jpl-france-water-pitcher/7816706149.html,antiques,ata
35,newyork,Antique Schoenhut Circus OSTRICH,7815045077,350.0,2-Jan,queens,15/01/2025 00:46:36,https://newyork.craigslist.org/que/atq/d/astoria-antique-schoenhut-circus-ostrich/7815045077.html,antiques,ata
9,longisland,Beautiful pure crystal chandelier,7812995820,200.0,24-Dec,Babylon,14/01/2025 22:20:03,https://longisland.craigslist.org/atq/d/babylon-beautiful-pure-crystal/7812995820.html,antiques,ata
84,rochester,"Vintage Accent chairs, 1900's",7812480454,29.0,11-Jan,Greece,15/01/2025 09:31:17,https://rochester.craigslist.org/atq/d/rochester-vintage-accent-chairs-1900s/7812480454.html,antiques,ata
101,syracuse,Drummer pedal,7810958677,100.0,16-Dec,Syracuse,15/01/2025 11:19:52,https://syracuse.craigslist.org/atq/d/syracuse-drummer-pedal/7810958677.html,antiques,ata
19,rochester,cedar chest,7815151124,500.0,12-Jan,Rochester,15/01/2025 09:31:17,https://rochester.craigslist.org/atq/d/rochester-cedar-chest/7815151124.html,antiques,ata
79,utica,vintage hand tools,7806158972,0.0,20-Dec,Hamilton,15/01/2025 13:31:22,https://utica.craigslist.org/atq/d/hamilton-vintage-hand-tools/7806158972.html,antiques,ata
38,utica,67â€™ Cheverolet Camaro Dashboard Speedometer/fuel gauge,7814444284,600.0,30-Dec,Rome,15/01/2025 13:31:22,https://utica.craigslist.org/atq/d/rome-67-cheverolet-camaro-dashboard/7814444284.html,antiques,ata
82,buffalo,Antique Patio Glider Rocker Bench Rocking Chair,7800629759,50.0,7-Dec,Amherst,14/01/2025 14:02:35,https://buffalo.craigslist.org/atq/d/buffalo-antique-patio-glider-rocker/7800629759.html,antiques,ata
90,newyork,"James Stewart Grace Kelly ""Real Window"" reissue 8""x10"" photo",7816799436,15.0,8-Jan,Manhattan,15/01/2025 00:43:50,https://newyork.craigslist.org/lgi/atq/d/brooklyn-james-stewart-grace-kelly-real/7816799436.html,antiques,ata
81,newyork,Antique Bottles 1920's/30's,7813613000,100.0,11-Jan,Staten Island NY,15/01/2025 00:42:14,https://newyork.craigslist.org/stn/atq/d/staten-island-antique-bottles-1920s-30s/7813613000.html,antiques,ata
114,hudsonvalley,ICE CREAM MAKER,7816932618,0.0,13-Jan,"LAGRANGE , NY",14/01/2025 19:43:40,https://hudsonvalley.craigslist.org/atq/d/poughkeepsie-ice-cream-maker/7816932618.html,antiques,ata
55,albany,assorted DOORS DOOR VINTAGE ANTIQUE FRONT WOODEN,7816408949,100.0,7-Jan,AMSTERDAM NY,14/01/2025 11:51:22,https://albany.craigslist.org/atq/d/fort-johnson-assorted-doors-door/7816408949.html,antiques,ata
88,newyork,17 Inch LAPTOP ASUS  NEW  ( ASUS CHROME BOOK ) ) 4 SALE,7814239751,0.0,30-Dec,Long Island,15/01/2025 00:47:48,https://newyork.craigslist.org/lgi/atq/d/west-hempstead-17-inch-laptop-asus-new/7814239751.html,antiques,ata
75,albany,L G Wright Daisy & Button Amber Salt & Pepper,7814490770,15.0,6-Jan,,14/01/2025 11:51:22,https://albany.craigslist.org/atq/d/troy-g-wright-daisy-button-amber-salt/7814490770.html,antiques,ata
68,longisland,Chinese Motif Arm Chair,7810440928,125.0,14-Dec,,14/01/2025 22:20:27,https://longisland.craigslist.org/atq/d/west-sayville-chinese-motif-arm-chair/7810440928.html,antiques,ata
111,longisland,"Two Unique Antique Wood Frames, Oval",7799669023,60.0,5-Dec,Huntington,14/01/2025 22:20:50,https://longisland.craigslist.org/atq/d/huntington-two-unique-antique-wood/7799669023.html,antiques,ata
